class,method,count
org.apache.tools.ant.taskdefs.Javadoc$LinkArgument,NOVALUE,1
org.apache.tools.ant.taskdefs.Javadoc$ResourceCollectionContainer,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.Javadoc$ResourceCollectionContainer,NOVALUE,1
org.apache.tools.ant.taskdefs.Javadoc$TagArgument,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.Javadoc$TagArgument,NOVALUE,1
org.apache.tools.ant.taskdefs.Jikes,compile,1
org.apache.tools.ant.taskdefs.JikesOutputParser,setProcessOutputStream,1
org.apache.tools.ant.taskdefs.Length,setWhen,1
org.apache.tools.ant.taskdefs.Length,getTrim,1
org.apache.tools.ant.taskdefs.Length$FileMode,getValues,1
org.apache.tools.ant.taskdefs.LoadProperties,setPrefixValues,1
org.apache.tools.ant.taskdefs.LoadProperties,NOVALUE,1
org.apache.tools.ant.taskdefs.LogOutputStream,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.MacroDef,createSequential,1
org.apache.tools.ant.taskdefs.MacroDef,getAttributes,1
org.apache.tools.ant.taskdefs.MacroDef,getElements,1
org.apache.tools.ant.taskdefs.MacroDef,getText,1
org.apache.tools.ant.taskdefs.MacroDef,addConfiguredText,1
org.apache.tools.ant.taskdefs.MacroDef$NestedSequential,getNested,1
org.apache.tools.ant.taskdefs.MacroInstance,getMacroDef,1
org.apache.tools.ant.taskdefs.MacroInstance,setMacroDef,1
org.apache.tools.ant.taskdefs.MacroInstance$Element,getUnknownElements,1
org.apache.tools.ant.taskdefs.Manifest,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.Manifest,getMainSection,1
org.apache.tools.ant.taskdefs.Manifest$Attribute,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.Manifest$Section,clone,1
org.apache.tools.ant.taskdefs.ManifestClassPath,addClassPath,1
org.apache.tools.ant.taskdefs.ManifestTask,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.ManifestTask,setMode,1
org.apache.tools.ant.taskdefs.MatchingTask,XsetIgnore,1
org.apache.tools.ant.taskdefs.MatchingTask,XsetItems,1
org.apache.tools.ant.taskdefs.Move,renameFile,1
org.apache.tools.ant.taskdefs.Pack,getSrcResource,1
org.apache.tools.ant.taskdefs.Pack,setSrcResource,1
org.apache.tools.ant.taskdefs.Pack,NOVALUE,1
org.apache.tools.ant.taskdefs.Parallel,setTimeout,1
org.apache.tools.ant.taskdefs.Parallel,processExceptions,1
org.apache.tools.ant.taskdefs.Parallel,access$402,1
org.apache.tools.ant.taskdefs.Parallel,execute,1
org.apache.tools.ant.taskdefs.Parallel,setFailOnAny,1
org.apache.tools.ant.taskdefs.Parallel,setThreadCount,1
org.apache.tools.ant.taskdefs.Parallel,setThreadsPerProcessor,1
org.apache.tools.ant.taskdefs.Parallel,updateThreadCounts,1
org.apache.tools.ant.taskdefs.Parallel,addDaemons,1
org.apache.tools.ant.taskdefs.PathConvert,setPreserveDuplicates,1
org.apache.tools.ant.taskdefs.PathConvert,setSetonempty,1
org.apache.tools.ant.taskdefs.PathConvert,setTargetos,1
org.apache.tools.ant.taskdefs.PathConvert,addMapper,1
org.apache.tools.ant.taskdefs.PathConvert,setRefid,1
org.apache.tools.ant.taskdefs.PathConvert,mapElement,1
org.apache.tools.ant.taskdefs.PathConvert$MapEntry,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.PathConvert$MapEntry,NOVALUE,1
org.apache.tools.ant.taskdefs.PreSetDef,addTask,1
org.apache.tools.ant.taskdefs.PreSetDef$PreSetDefinition,getPreSets,1
org.apache.tools.ant.taskdefs.PreSetDef$PreSetDefinition,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.ProcessDestroyer$ProcessDestroyerImpl,setShouldDestroy,1
org.apache.tools.ant.taskdefs.Property,getClasspath,1
org.apache.tools.ant.taskdefs.Property,getRefid,1
org.apache.tools.ant.taskdefs.Property,setClasspath,1
org.apache.tools.ant.taskdefs.Property,setRefid,1
org.apache.tools.ant.taskdefs.PropertyHelperTask,addConfigured,1
