class,count
org.apache.maven.project.interpolation.StringSearchModelInterpolator$InterpolateObjectAction,1
org.apache.maven.repository.MetadataGraph,1
org.apache.maven.repository.MetadataGraphNode,1
org.apache.maven.repository.internal.MavenMetadata,1
org.apache.maven.repository.legacy.DefaultUpdateCheckManager,1
org.apache.maven.repository.legacy.resolver.transform.DefaultArtifactTransformationManager,1
org.apache.maven.repository.metadata.DefaultClasspathTransformation$ClasspathGraphVisitor,1
org.apache.maven.settings.io.DefaultSettingsWriter,1
org.apache.maven.toolchain.DefaultToolchain,1
org.apache.maven.toolchain.merge.MavenToolchainMerger,1
org.slf4j.impl.OutputChoice,1
org.slf4j.impl.SimpleLoggerConfiguration,1
