class,method,field,count
org.apache.cassandra.cql3.Cql_Parser$DFA209,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA209,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser$DFA212,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Parser$DFA212,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA212,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser$DFA22,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Parser$DFA22,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA220,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Parser$DFA220,&lt;init&gt;,this$0,1
org.apache.cassandra.cql3.Cql_Parser$DFA220,NOVALUE,NOVALUE,1
org.apache.cassandra.cql3.Cql_Parser$DFA224,&lt;init&gt;,recognizer,1
org.apache.cassandra.cql3.Cql_Parser$DFA224,&lt;init&gt;,this$0,1
